iter	Logloss
0	0.6550237868
1	0.6179375086
2	0.5879554204
3	0.5621447304
4	0.5394909774
5	0.5224639425
6	0.5121588696
7	0.4986994898
8	0.485142915
9	0.4719027148
10	0.4608477368
11	0.4523935226
12	0.4432415925
13	0.4349042946
14	0.4281803672
15	0.4221591967
16	0.4166721034
17	0.411823149
18	0.4074867282
19	0.4030799022
20	0.3995855973
21	0.3960914387
22	0.3924901272
23	0.3912121695
24	0.3883440349
25	0.3857669642
26	0.3822077079
27	0.3792198298
28	0.3760151971
29	0.37311065
30	0.3704817259
31	0.3680647228
32	0.3672175767
33	0.3651521028
34	0.3622143219
35	0.3595895218
36	0.3566180676
37	0.3549207499
38	0.3522111203
39	0.3514929658
40	0.3487431958
41	0.3467038664
42	0.3455697548
43	0.3427100312
44	0.340960398
45	0.338958879
46	0.3382068135
47	0.3367324983
48	0.3350156019
49	0.3334328675
50	0.3310593786
51	0.3284521726
52	0.3263926255
53	0.3248571771
54	0.3225163556
55	0.3205410726
56	0.3184631084
57	0.3165091185
58	0.3148956584
59	0.3127955807
60	0.3105014691
61	0.3087260656
1905
62	0.299451729
63	0.2978949333
64	0.2956959625
65	0.2936242003
66	0.2916925282
67	0.2896947234
68	0.2875721594
69	0.2856661626
70	0.2847161073
71	0.2838875939
72	0.2818564875
73	0.2800083655
74	0.278717772
75	0.2774326879
76	0.2765689242
77	0.2749897747
78	0.2735341365
79	0.2716402479
80	0.2696671968
81	0.267955008
82	0.267073787
83	0.2657109204
84	0.2639855351
85	0.2620109134
86	0.2604845138
87	0.2585721896
88	0.2564834887
89	0.2554406299
90	0.2538252039
91	0.2526797938
92	0.250545936
93	0.2487578868
94	0.2469956729
95	0.245625393
96	0.2446238746
97	0.2434317574
98	0.2426216021
99	0.2410365959
100	0.2394513386
101	0.2378170566
102	0.2373274895
103	0.2353985544
104	0.2342904605
105	0.2329812622
106	0.2316089553
107	0.230254449
	0.348342801
109	0.3478866216
110	0.3474843678
111	0.3468015277
112	0.3461296749
113	0.3458941208
114	0.3454037516
115	0.3447251426
116	0.3441238408
117	0.3433746361
118	0.3427288233
119	0.3421167997
120	0.3416928241
121	0.3409950046
122	0.3407060562
123	0.3402785279
124	0.3396257495
125	0.338919418
126	0.338248349
127	0.3379639875
128	0.3374511848
129	0.3371831899
35176512
131	0.3330786685
132	0.3325040649
133	0.3317840252
134	0.331582422
135	0.3309865062
47923676
