iter	Passed	Remaining
0	3561	3558101
1	7182	3584278
2	11003	3656723
3	14704	3661536
4	14811	2947456
5	14820	2455325
6	18439	2615816
7	22374	2774446
8	26094	2873243
9	29860	2956188
10	30177	2713196
11	33603	2766706
12	37125	2818682
13	40835	2876012
14	41018	2693542
15	44772	2753534
16	48582	2809225
17	52398	2858646
18	56089	2896010
19	56214	2754524
20	60235	2808099
21	63593	2827009
22	67344	2860672
23	67376	2739960
24	71270	2779531
25	74916	2806501
26	78652	2834417
27	82285	2856477
28	86079	2882186
29	89655	2898853
30	93463	2921486
31	97252	2941899
32	97278	2850556
33	101095	2872288
34	104723	2887388
35	108801	2913468
36	112445	2926617
37	114120	2889041
38	118031	2908411
39	118072	2833751
40	121641	2845235
41	125690	2866942
42	125727	2798171
43	129562	2815031
44	133238	2827615
45	136658	2834176
46	136696	2771730
47	140519	2786978
48	144258	2799783
49	147653	2805424
50	151179	2813133
51	155331	2831812
52	158787	2837201
53	162656	2849492
54	166374	2858609
55	170073	2866955
56	173846	2876083
57	177635	2885049
58	181215	2890227
59	185106	2900003
60	188456	2900989
61	192398	2910800

62	205628	3058317
63	209425	3062847
64	213375	3069320
65	217575	3079026
66	221187	3080118
67	225915	3096377
68	230032	3103777
69	233617	3103777
70	237349	3105596
71	241068	3107111
72	244898	3109880
73	248736	3112567
74	252336	3112155
75	256013	3112581
76	260106	3117901
77	264341	3124646
78	268063	3125142
79	271749	3125115
80	275422	3124856
81	279429	3128252
82	283435	3131445
83	287176	3131594
84	290962	3132127
85	294729	3132352
86	298417	3131670
87	301893	3128716
88	305625	3128370
89	309605	3130452
90	313312	3129685
91	317340	3132015
92	321161	3132190
93	325361	3135929
94	329068	3134807
95	333205	3137684
96	336781	3135191
97	340540	3134364
98	344332	3133775
99	348154	3133386
100	352451	3137163
101	355953	3133790
102	356423	3103998
103	360319	3104288
104	364052	3103112
105	367597	3100306
106	371566	3101016
107	375334	3099981
21672	2629452
109	325810	2636100
110	325865	2609856
111	329754	2614481
112	333648	2618990
113	333656	2593154
114	337446	2596867
115	340963	2598376
116	344872	2602756
117	348877	2607712
118	352555	2610099
119	356169	2611910
120	360236	2616923
121	363894	2618848
122	363926	2594826
123	367513	2596304
124	371406	2599846
125	375367	2603738
126	378958	2604969
127	379033	2582162
128	383009	2586058
129	386851	2588929
	2520280
131	383594	2522422
132	387099	2523422
133	390855	2525977
134	390889	25045881135	394506	2506274
